source,target
"Student","Élève"
"Teacher","Enseignant"
"Parent","Parent"
"Guardian","Tuteur"
"Class","Classe"
"Subject","Matière"
"Grade","Note"
"Attendance","Présence"
"Absent","Absent"
"Present","Présent"
"Late","Retard"
"Academic Year","Année Scolaire"
"Academic Term","Trimestre"
"Report Card","Bulletin de Notes"
"Fee Bill","Facture de Frais"
"Payment","Paiement"
"Outstanding","Impayé"
"Paid","Payé"
"Pending","En Attente"
"Overdue","En Retard"
"School","École"
"Principal","Directeur"
"Administration","Administration"
"Finance","Finance"
"HR","RH"
"Maintenance","Maintenance"
"Transport","Transport"
"Canteen","Cantine"
"Homework","Devoir"
"Assignment","Devoir"
"Assessment","Évaluation"
"Exam","Examen"
"Schedule","Emploi du Temps"
"Timetable","Emploi du Temps"
"Room","Salle"
"Activity","Activité"
"Health","Santé"
"Discipline","Discipline"
"Communication","Communication"
"Message","Message"
"Meeting","Réunion"
"Appointment","Rendez-vous"
"Consent","Consentement"
"Permission","Permission"
"Justification","Justification"
"Excuse","Excuse"
"MASSAR Code","Code MASSAR"
"Phone","Téléphone"
"Email","Email"
"Address","Adresse"
"Date","Date"
"Time","Heure"
"Status","Statut"
"Description","Description"
"Amount","Montant"
"Total","Total"
"Subtotal","Sous-total"
"Due Date","Date d'Échéance"
"Generated on","Généré le"
"Print","Imprimer"
"Save","Enregistrer"
"Cancel","Annuler"
"Submit","Soumettre"
"Approve","Approuver"
"Reject","Rejeter"
"Edit","Modifier"
"Delete","Supprimer"
"View","Voir"
"Search","Rechercher"
"Filter","Filtrer"
"Export","Exporter"
"Import","Importer"
"Settings","Paramètres"
"Profile","Profil"
"Dashboard","Tableau de Bord"
"Reports","Rapports"
"Statistics","Statistiques"
"Analytics","Analyses"
